_time,#BATCH_WRITE M1_p1,#DEVICE_ERROR M1_p1,#DISABLE_DEVICE M1_p1,Average_Line_Current M1_p1,Average_Line_Current_THD M1_p1,Average_Line_to_Line_Volts M1_p1,Average_Line_to_Neutral_Volts_THD M1_p1,Average_line_to_line_volts_THD M1_p1,Average_line_to_neutral_Volts M1_p1,Channel1_Temperature M1_p1,Channel2_Temperature M1_p1,Channel3_Temperature M1_p1,Channel4_Temperature M1_p1,Current_Negative_Sequence_Unbalance_Degree M1_p1,Current_Zero_Sequence_Unbalance_Degree M1_p1,Frequency_of_Supply_Voltages M1_p1,L1_total_kvarh M1_p1,L1_total_kwh M1_p1,L2_total_kWh M1_p1,L2_total_kvarh M1_p1,L3_total_kvarh M1_p1,L3_total_kwh M1_p1,Line1_to_Line2_Volts M1_p1,Line2_to_Line3_Volts M1_p1,Line3_to_Line1_Volts M1_p1,Line_1_to_line_2_volts_THD M1_p1,Line_2_to_line_3_volts_THD M1_p1,Line_3_to_line_1_volts_THD M1_p1,Maximum_Total_System_Power_Demand M1_p1,Maximum_Total_System_Reactive_Power_Demand M1_p1,Maximum_Total_System_VA_Demand M1_p1,Neutral_Current M1_p1,Phase1_Active_Power M1_p1,Phase1_Apparent_Power M1_p1,Phase1_Current M1_p1,Phase1_Current_THD M1_p1,Phase1_L|N_volts_THD M1_p1,Phase1_Power_Factor M1_p1,Phase1_Reactive_Power M1_p1,Phase1_line_to_neutral_Volts M1_p1,Phase2_Active_Power M1_p1,Phase2_Apparent_Power M1_p1,Phase2_Current M1_p1,Phase2_Current_THD M1_p1,Phase2_L|N_volts_THD M1_p1,Phase2_Power_Factor M1_p1,Phase2_Reactive_Power M1_p1,Phase2_line_to_neutral_Volts M1_p1,Phase3_Active_Power M1_p1,Phase3_Apparent_Power M1_p1,Phase3_Current M1_p1,Phase3_Current_THD M1_p1,Phase3_L|N_volts_THD M1_p1,Phase3_Power_Factor M1_p1,Phase3_Reactive_Power M1_p1,Phase3_line_to_neutral_Volts M1_p1,Total_Active_Power M1_p1,Total_Apparent_Power M1_p1,Total_Reactive_Power M1_p1,Total_System_Power_Factor M1_p1,Total_kWh M1_p1,Voltage_Negative_Sequence_Unbalance_Degree M1_p1,Voltage_Zero_Sequence_Unbalance_Degree M1_p1
3/7/2026 11:10,1,0,0,21.2,0,416,0,0,240,29.9,30.8,29.9,31.3,6.89,5.77,49.8,88,28,28,87,77,23,415,416,415,0,0,0,8.01,0,11.2,20.4,4.3,5.34,22.5,36.5,7.71,0.805,-2.69,240,4.29,5.32,22.2,36,8.24,0.806,-2.68,239,3.53,4.46,18.5,0,7.34,0.791,-2.29,241,12.1,15.1,-7.66,0.801,81,0.101,0.489
3/7/2026 11:10,1,0,0,20.1,0,416,0,0,240,29.9,30.8,29.9,31.3,6.72,5.29,49.8,88,28,28,87,77,23,416,416,416,0,0,0,8.01,0,11.2,20,4.02,5.08,21.2,37.8,7.74,0.79,-2.63,240,4.07,5.12,21.3,37.1,8.28,0.794,-2.64,239,3.37,4.32,17.9,0,7.38,0.78,-2.26,241,11.5,14.5,-7.53,0.79,81,0.079,0.475
3/7/2026 11:09,1,0,0,20.8,0,416,0,0,240,29.7,30.8,30,31.3,6.97,6.09,49.8,88,28,28,87,77,23,416,416,415,0,0,0,8.01,0,11.2,20.2,4.22,5.26,22.1,36.8,7.72,0.803,-2.67,240,4.18,5.21,21.9,36.4,8.25,0.801,-2.65,239,3.45,4.39,18.2,0,7.36,0.784,-2.28,241,11.8,14.9,-7.6,0.797,81,0.103,0.489
3/7/2026 11:09,1,0,0,20.1,0,416,0,0,240,29.8,30.8,30,31.2,6.77,5.31,49.8,88,28,28,87,77,23,415,416,416,0,0,0,8.01,0,11.2,20,4.02,5.08,21.2,37.8,7.76,0.791,-2.63,240,4.07,5.12,21.3,37.1,8.29,0.795,-2.64,239,3.37,4.32,17.9,0,7.39,0.78,-2.26,241,11.5,14.5,-7.53,0.789,81,0.0953,0.457
3/7/2026 11:08,1,0,0,20.7,0,416,0,0,240,29.8,30.8,29.9,31.2,7.04,6.11,49.8,88,28,28,87,77,23,416,416,415,0,0,0,8.01,0,11.2,20.1,4.17,5.22,21.9,37.4,7.72,0.799,-2.66,240,4.13,5.18,21.9,36.9,8.25,0.798,-2.64,239,3.4,4.35,18.1,0,7.36,0.781,-2.26,241,11.7,14.7,-7.55,0.788,81,0.105,0.504
3/7/2026 11:08,1,0,0,19.9,0,416,0,0,240,29.7,30.8,29.9,31.2,6.8,5.34,49.8,88,28,28,87,77,23,416,416,415,0,0,0,8.01,0,11.2,19.8,3.94,5,20.9,35.3,7.74,0.786,-2.61,240,3.99,5.04,21.1,34.7,8.28,0.79,-2.62,239,3.3,4.25,17.7,0,7.38,0.775,-2.24,241,11.2,14.3,-7.47,0.784,80.3,0.101,0.506
3/7/2026 11:07,1,0,0,20.7,0,416,0,0,240,29.8,30.7,29.9,31.2,6.95,6.1,49.8,88,28,28,87,77,23,416,416,416,0,0,0,8.01,0,11.2,20.2,4.22,5.27,21.9,36.8,7.73,0.802,-2.67,240,4.18,5.22,21.9,36.4,8.26,0.802,-2.66,239,3.45,4.39,18.2,0,7.38,0.786,-2.28,241,11.8,14.9,-7.61,0.797,80,0.0913,0.475
3/7/2026 11:07,1,0,0,20.1,0,416,0,0,240,29.7,30.7,29.9,31.2,6.68,5.35,49.8,88,28,28,87,77,23,415,416,416,0,0,0,8.01,0,11.2,20,4.02,5.07,21.1,37.8,7.75,0.791,-2.63,240,4.07,5.12,21.4,37.1,8.27,0.794,-2.64,239,3.37,4.32,17.9,0,7.38,0.78,-2.26,241,11.5,14.5,-7.53,0.789,80,0.0847,0.485
3/7/2026 11:06,1,0,0,20.8,0,416,0,0,240,29.6,30.7,29.9,31.2,6.95,6.12,49.8,88,28,28,87,77,23,416,416,415,0,0,0,8.01,0,11.2,20.2,4.22,5.26,22.1,36.8,7.73,0.802,-2.67,240,4.18,5.21,21.9,35.2,8.26,0.802,-2.66,239,3.45,4.39,18.1,0,7.36,0.785,-2.28,241,11.8,14.9,-7.6,0.796,80,0.095,0.505
3/7/2026 11:06,1,0,0,20.1,0,416,0,0,240,29.6,30.7,29.8,31.2,6.71,5.31,49.8,88,28,28,87,77,23,416,416,415,0,0,0,8.01,0,11.2,20,4.02,5.08,21.2,37.8,7.75,0.791,-2.63,240,4.07,5.12,21.3,37.1,8.26,0.795,-2.64,239,3.37,4.32,17.9,0,7.38,0.78,-2.26,241,11.5,14.5,-7.53,0.789,80,0.119,0.497
3/7/2026 11:05,1,0,0,20.7,0,416,0,0,240,29.6,30.7,29.7,31.2,6.75,6.33,49.8,88,28,28,87,77,23,415,416,416,0,0,0,8.01,0,11.2,20.2,4.22,5.26,21.9,36.8,7.72,0.802,-2.67,240,4.18,5.21,21.9,36.4,8.24,0.802,-2.66,239,3.45,4.39,18.2,0,7.36,0.786,-2.28,241,11.8,14.9,-7.6,0.796,80,0.119,0.462
