cycle,voltage_measured,current_measured,temperature_measured,capacity
1,4.19,1.5,24.5,1.85
2,4.19,1.5,24.6,1.84
3,4.18,1.5,24.7,1.83
4,4.18,1.5,24.8,1.82
5,4.17,1.5,25.0,1.81
10,4.16,1.5,25.2,1.78
20,4.15,1.5,25.5,1.75
30,4.14,1.5,25.8,1.72
40,4.13,1.5,26.0,1.69
50,4.12,1.5,26.2,1.65
60,4.11,1.5,26.5,1.62
70,4.10,1.5,26.8,1.58
80,4.09,1.5,27.0,1.55
90,4.08,1.5,27.2,1.52
100,4.07,1.5,27.5,1.48
110,4.06,1.5,27.8,1.45
120,4.05,1.5,28.0,1.42
130,4.04,1.5,28.2,1.39
140,4.03,1.5,28.5,1.35
150,4.02,1.5,28.8,1.32
160,4.01,1.5,29.0,1.28
168,4.00,1.5,29.5,1.25
