time,voltage,current,temperature,capacity
0,3.7,1.5,25.0,100.0
1,3.69,1.5,25.1,99.9
2,3.68,1.5,25.2,99.8
3,3.67,1.5,25.3,99.7
4,3.66,1.5,25.4,99.6
5,3.65,1.5,25.5,99.5
6,3.64,1.5,26.0,99.4
7,3.63,1.5,26.2,99.3
8,3.62,1.5,26.5,99.2
9,3.61,1.5,26.8,99.1
10,3.60,1.5,27.0,99.0
11,3.59,1.5,27.2,98.9
12,3.58,1.5,27.5,98.8
13,3.57,1.5,27.8,98.7
14,3.56,1.5,28.0,98.6
15,3.55,1.5,28.2,98.5
16,3.54,1.5,28.5,98.4
17,3.53,1.5,28.8,98.3
18,3.52,1.5,29.0,98.2
19,3.51,1.5,29.2,98.1
20,3.50,1.5,29.5,98.0
21,3.49,1.5,29.8,97.9
22,3.48,1.5,30.0,97.8
23,3.47,1.5,30.2,97.7
24,3.46,1.5,30.5,97.6
25,3.45,1.5,30.8,97.5
26,3.44,1.5,31.0,97.4
27,3.43,1.5,31.2,97.3
28,3.42,1.5,31.5,97.2
29,3.41,1.5,31.8,97.1
30,3.40,1.5,32.0,97.0
31,3.39,1.5,32.2,96.9
32,3.38,1.5,32.5,96.8
33,3.37,1.5,32.8,96.7
34,3.36,1.5,33.0,96.6
35,3.35,1.5,33.2,96.5
36,3.34,1.5,33.5,96.4
37,3.33,1.5,33.8,96.3
38,3.32,1.5,34.0,96.2
39,3.31,1.5,34.2,96.1
40,3.30,1.5,34.5,96.0
41,3.29,1.5,34.8,95.9
42,3.28,1.5,35.0,95.8
43,3.27,1.5,35.2,95.7
44,3.26,1.5,35.5,95.6
45,3.25,1.5,35.8,95.5
46,3.24,1.5,36.0,95.4
47,3.23,1.5,36.2,95.3
48,3.22,1.5,36.5,95.2
49,3.21,1.5,36.8,95.1
50,3.20,1.5,37.0,95.0
