time,temperature,voltage,current,chemistry,dataset
0.0,25.122,4.1479,1.462,NMC-LMO,SNL_NMC-LMO_85SOC_a
1.0,25.411,4.1458,1.565,NMC-LMO,SNL_NMC-LMO_85SOC_a
2.0,25.121,4.1488,1.501,NMC-LMO,SNL_NMC-LMO_85SOC_a
3.0,24.764,4.1509,1.461,NMC-LMO,SNL_NMC-LMO_85SOC_a
4.0,25.166,4.1511,1.477,NMC-LMO,SNL_NMC-LMO_85SOC_a
5.0,24.831,4.1492,1.548,NMC-LMO,SNL_NMC-LMO_85SOC_a
6.0,25.561,4.1481,1.509,NMC-LMO,SNL_NMC-LMO_85SOC_a
7.0,24.973,4.1503,1.508,NMC-LMO,SNL_NMC-LMO_85SOC_a
8.0,25.109,4.1469,1.473,NMC-LMO,SNL_NMC-LMO_85SOC_a
9.0,25.461,4.1481,1.478,NMC-LMO,SNL_NMC-LMO_85SOC_a
10.0,26.207,4.1462,1.526,NMC-LMO,SNL_NMC-LMO_85SOC_a
11.0,25.059,4.1479,1.444,NMC-LMO,SNL_NMC-LMO_85SOC_a
12.0,25.374,4.1447,1.541,NMC-LMO,SNL_NMC-LMO_85SOC_a
13.0,25.715,4.1476,1.473,NMC-LMO,SNL_NMC-LMO_85SOC_a
14.0,25.224,4.1463,1.494,NMC-LMO,SNL_NMC-LMO_85SOC_a
15.0,25.612,4.1472,1.489,NMC-LMO,SNL_NMC-LMO_85SOC_a
16.0,25.832,4.1453,1.486,NMC-LMO,SNL_NMC-LMO_85SOC_a
17.0,25.848,4.142,1.516,NMC-LMO,SNL_NMC-LMO_85SOC_a
18.0,25.442,4.1433,1.514,NMC-LMO,SNL_NMC-LMO_85SOC_a
19.0,26.263,4.1426,1.452,NMC-LMO,SNL_NMC-LMO_85SOC_a
20.0,25.027,4.1433,1.492,NMC-LMO,SNL_NMC-LMO_85SOC_a
21.0,25.969,4.1451,1.46,NMC-LMO,SNL_NMC-LMO_85SOC_a
22.0,25.631,4.1425,1.457,NMC-LMO,SNL_NMC-LMO_85SOC_a
23.0,25.728,4.1405,1.557,NMC-LMO,SNL_NMC-LMO_85SOC_a
24.0,25.472,4.1438,1.493,NMC-LMO,SNL_NMC-LMO_85SOC_a
25.0,26.151,4.1416,1.492,NMC-LMO,SNL_NMC-LMO_85SOC_a
26.0,26.16,4.1416,1.477,NMC-LMO,SNL_NMC-LMO_85SOC_a
27.0,25.68,4.1412,1.519,NMC-LMO,SNL_NMC-LMO_85SOC_a
28.0,25.502,4.1426,1.523,NMC-LMO,SNL_NMC-LMO_85SOC_a
29.0,26.02,4.1423,1.478,NMC-LMO,SNL_NMC-LMO_85SOC_a
30.0,26.316,4.1408,1.521,NMC-LMO,SNL_NMC-LMO_85SOC_a
31.0,26.053,4.1373,1.572,NMC-LMO,SNL_NMC-LMO_85SOC_a
