time,voltage,current,temperature,capacity
0,4.2,2.0,25.0,100.0
1,4.19,2.0,25.1,99.9
2,4.19,2.0,25.2,99.9
3,4.18,2.0,25.3,99.8
4,4.18,2.0,25.4,99.8
5,4.17,2.0,25.5,99.8
10,4.15,2.0,26.0,99.6
20,4.12,2.0,27.0,99.4
30,4.10,2.0,28.0,99.2
40,4.08,2.0,29.0,99.0
50,4.05,2.0,30.0,98.8
60,4.02,2.0,31.0,98.6
70,4.00,2.0,32.0,98.4
80,3.98,2.0,33.0,98.2
90,3.95,2.0,34.0,98.0
100,3.92,2.0,35.0,97.8
110,3.90,2.0,36.0,97.6
120,3.88,2.0,37.0,97.4
130,3.85,2.0,38.0,97.2
140,3.82,2.0,39.0,97.0
150,3.80,2.0,40.0,96.8
160,3.78,2.0,41.0,96.6
170,3.75,2.0,42.0,96.4
180,3.72,2.0,43.0,96.2
190,3.70,2.0,44.0,96.0
200,3.68,2.0,45.0,95.8
210,3.65,2.0,46.0,95.6
220,3.62,2.0,47.0,95.4
230,3.60,2.0,48.0,95.2
240,3.58,2.0,49.0,95.0
250,3.55,2.0,50.0,94.8
260,3.52,2.0,52.0,94.6
270,3.50,2.0,54.0,94.4
280,3.48,2.0,56.0,94.2
290,3.45,2.0,58.0,94.0
300,3.42,2.0,60.0,93.8
310,3.40,2.0,62.0,93.6
320,3.38,2.0,65.0,93.4
330,3.35,2.0,68.0,93.2
340,3.32,2.0,72.0,93.0
350,3.30,2.0,76.0,92.8
360,3.28,2.0,80.0,92.6
# Onset of Thermal Runaway (Abnormal Heating and Voltage Drop)
370,3.25,2.0,85.0,92.4
380,3.20,2.0,92.0,92.0
390,3.15,2.0,100.0,91.5
400,3.10,2.0,110.0,91.0
410,3.00,2.0,125.0,90.5
420,2.80,2.0,145.0,89.0
430,2.50,2.0,170.0,87.0
440,2.00,2.5,200.0,85.0
450,1.50,3.0,240.0,80.0
460,0.50,5.0,300.0,70.0
470,0.00,0.0,450.0,0.0
